V,W1,W2,W3,W4,W5,W6,W7
0.8924541410655857,0.016052939829660207,0.19278429626076618,0.39549157357909853,0.5304267693822288,0.18036988305816284,0.11098691484495078,0.39254380846150777
0.8346529204386991,0.022863238441546075,0.21892043942413433,0.3726550258940846,0.5068342571088096,0.20875499975080328,0.11119478482702262,0.3951278012401234
0.8290120521229896,0.028803227121509588,0.20816186506980805,0.34321808560109024,0.5069545831508864,0.21397138773297822,0.11699910776472457,0.36744794942714226
0.8478854317605875,0.03513232991728495,0.21063265553688984,0.3052703272451813,0.4693836863613509,0.2206584073709351,0.125901788716052,0.3779745048056587
0.9218752654718041,0.037629085042351934,0.2119094088763834,0.31858190735303754,0.548972687495647,0.2119076614148297,0.12854270059978018,0.3862988392831269
0.8880252252723391,0.04409904132032074,0.23105946881172068,0.31867402595958433,0.5481223181387425,0.20900632739720648,0.12061820302171165,0.4039576660320234
0.8347145850195651,0.05045962811762397,0.24731418838351343,0.27986623373875363,0.49744360464152615,0.19785916095158776,0.12278915783444874,0.3891634797805996
0.8517792967236352,0.05507299743796391,0.22784169637583407,0.28250511039683657,0.4607439605103239,0.20677279323893316,0.11324129229868744,0.36670889687742725
0.9351296696168778,0.06287743560856246,0.22616818040669504,0.2828638668751726,0.5020243292488198,0.20738977041288134,0.11041175827822096,0.31222105288052676
0.8903019760723314,0.07168305053132942,0.2452024655457928,0.2342323075989192,0.4527131757536915,0.19102988735692053,0.11760161637806395,0.365937263136039
0.9998142364110966,0.06666843716153942,0.2677356112665912,0.20873358298552006,0.43148407586480647,0.1969315619396776,0.10595768528825582,0.349938472911803
1.0384864839602266,0.076207410937171,0.2894978118527069,0.22090865534748969,0.42018810999904677,0.1975506234352482,0.11984400084605365,0.35007679090347327
1.0286196223798922,0.08358304327793836,0.30916155490133024,0.21849188218073193,0.4214634806726866,0.1925014010890533,0.12191419690588698,0.3716721403184758
1.0486928326870673,0.08807544938309783,0.3232220103735496,0.21235567875317635,0.3832572193330364,0.19862387446208052,0.13774431899200068,0.3467103333314397
0.9803865062669752,0.09315321930460028,0.33227682459574065,0.23281845938148626,0.3687032446550234,0.19850963228859395,0.1463354802289856,0.34641349739234506
0.9923354367007899,0.09618522420121967,0.35054964216803547,0.22826268186704812,0.31442324312830777,0.19894160407235323,0.1610240450303369,0.3312974864899079
0.9125196232660476,0.0964966964167193,0.33032302393080987,0.21498498438135655,0.28761765201411316,0.19615046224199045,0.1702947331496151,0.3383995305130445
0.8901808267031033,0.09951431512400406,0.3385500705239756,0.22050081335668975,0.30067418344285407,0.19614266155189455,0.18103470892830797,0.36216851114195436
0.815807193012036,0.10156646688457921,0.3058519313792175,0.24307667364923546,0.3043067412281153,0.20681615807612247,0.18739720025436166,0.35196520124162695
0.8445385600310379,0.10080545840786898,0.3269000885077466,0.24246561829049468,0.2999440940453317,0.21877195764099358,0.16818033100311078,0.3490869128728009
0.8706656970935993,0.10413629513806837,0.3159651265729087,0.23626227519322648,0.29872110544324887,0.21219472298889472,0.1655618051615246,0.38426869674921554
