time,observation,log_volatility
1.0,1.4177075168426778,1.217581636441511
2.0,0.7929818413998648,1.1450415799050007
3.0,-2.0742015930271003,1.293607026987165
4.0,0.4487194536073056,1.3153852420357472
5.0,1.4656706758002365,1.333084210375132
6.0,-0.6626455732069321,1.1370378542517179
7.0,-0.9730114098848782,1.0224705371408294
8.0,0.983330688723928,0.8461130449928778
9.0,1.183613984573645,0.9648061048172835
10.0,1.1100374665554236,1.0069677289518626
11.0,1.1455402588811718,1.1172714406040798
12.0,0.008264088950975352,1.0624529573507455
13.0,-1.252065747371235,1.0007908850571416
14.0,-1.0378680702301675,0.9855887035942975
15.0,-2.2014617831328347,1.0483637863024988
16.0,0.5350066197146482,0.9705627137214834
17.0,0.8614586953617637,0.8604809814454276
18.0,4.191542765834036,0.99936410580335
19.0,1.482026760414923,0.8841391110508251
20.0,-1.4536673582958708,0.999130691247326
21.0,-1.440031574826922,1.0363471887270446
22.0,-1.9099988239328736,1.0615281343089495
23.0,0.4728369312606757,1.1336953824796707
24.0,-0.3984516920723446,1.2606573954260236
25.0,1.1899007176508067,1.1211384895703274
26.0,0.30218567489425496,1.2830041201935805
27.0,-0.19265924762716982,1.3812884768930258
28.0,0.12184797952932311,1.3653689588469786
29.0,-0.31285816923970783,1.179085342123347
30.0,0.20870686300294622,1.036574687073544
31.0,1.6702076115163162,1.0937987787034409
32.0,-0.8968379687539528,1.1850607264920536
33.0,-1.083216914858453,1.3034475363184113
34.0,-0.8066950576382128,1.1879035694480542
35.0,-1.4311116772367194,1.075377291277881
36.0,1.9199530490607415,1.0582106903882826
37.0,-0.04463207837046795,0.8960465258853619
38.0,1.7571208078746487,0.9063138663371376
39.0,-0.6207322049964031,0.7678552517303747
40.0,1.2732329866634842,0.8245063342095889
41.0,0.9145223074134309,0.7780198261530666
42.0,-0.7816198619181373,0.8322659273668273
43.0,1.2833703110389012,0.923029637181478
44.0,-3.0366658638355397,1.1601583034983594
45.0,0.6333913970372782,1.0716004178626113
46.0,0.03270515845491375,0.9427958434736026
47.0,-0.7450539219641885,1.0472217509356396
48.0,1.4581176855943807,0.9191316532703676
49.0,-1.406774555501549,0.7653977102810093
50.0,-2.0069133694889474,0.6193782622319911
