time,observation_1,observation_2,observation_3,observation_4,observation_5,observation_6,state_1,state_2,state_3,state_4,state_5,state_6,log_variance_1,log_variance_2
1.0,4.218792592678259,-1.7276526570835316,-1.0888950705238192,2.9838485937766217,0.7101679615809878,0.5641541537062227,3.088206877973275,-1.6797044469793663,-0.7203889447993994,2.1483484760751925,0.5412747837612981,-0.06333503712958771,-0.011384725392474704,1.33724149367585
2.0,2.8254082342309523,-2.370884057825557,0.97149601915593,-0.23228924516143365,1.0384692342071842,0.2460411142817896,2.6112137561103794,-1.7263615651117759,0.818785728951978,-0.26706846499462955,0.7603029743283614,0.5049173414602206,0.6703084727797675,1.4179149842572265
3.0,-0.5155012999667832,0.45758783628567246,-0.798951559832333,-1.0230445379744744,1.671621307338095,1.690271362183682,0.6787816665508444,-1.3530356169586393,-0.7145534103754041,-1.8149758349289584,1.8457085273383698,1.4524649891338473,0.9647386404093912,1.8234444735766204
4.0,-0.8132006675512964,0.09308405913334555,-1.296372404214445,-4.118672575670121,-0.552299809292394,1.5709834981540045,1.0362118118217771,-0.3409073363744568,-1.836775503560278,-3.859079022534456,-0.3590459925035854,1.8167204781388238,1.223289096869395,2.0258165859758392
5.0,0.7390295922839447,2.4947813458393684,-3.0123039011415935,-3.836550453338046,-1.5061055746679601,2.7538288141515985,2.102347513523131,1.1409176691906489,-3.281662913639986,-3.9940780161858243,-1.6624626126812736,2.3985092963509738,1.6032992165203994,1.8670333132243995
6.0,-0.7640029735403664,-0.29058915553662246,-5.37506233324656,-4.1461776311124074,-4.229970137808182,-0.9925967735360222,1.2013830731735493,2.6246432758290856,-4.758958635367563,-3.1000591630753287,-3.2009241131546444,0.16236571894019614,1.6990565101344188,2.2892919991660845
7.0,-1.775477016512112,0.9495371298920399,-6.593463478200563,-4.758829556483613,-3.1308075904570263,-0.25492664108851704,2.5018428442334724,1.5451072604713827,-6.157072103718626,-3.2493291092270593,-1.4715194285118987,0.31679430596492986,1.4147876932426278,2.5524273059245557
8.0,3.5812995425756284,3.041852026552421,-7.459286860785957,-1.4259093247804149,-2.1022207204988543,0.09128783065935153,2.2470632853231964,1.526450649287487,-8.04516725275203,-1.9167926391763126,-2.8874716138320795,-0.48659507455562745,1.3605421961322557,2.781661183908552
9.0,-0.4116414491479987,-6.781422257236363,-7.378697767485379,-4.491928978328371,-6.950337093151507,-0.14976967958572907,1.944952907808252,0.24728994279694905,-5.34266474070691,-2.4555646274666967,-4.441797087935621,1.530791170672062,1.5256452290808689,2.4777307183768635
10.0,2.506948941350696,0.9500173607352049,-7.381924561375963,-2.5626757804504656,-4.3895659390125505,0.6871707737739977,3.0456518385085634,0.03813025681506599,-7.200320066287407,-2.762733783053688,-4.703959237338741,0.887111129502895,1.7271919538017542,2.3978305510828957
11.0,5.483828082905179,-3.146847423538616,-5.069368528914472,-3.245149218885753,-4.27958399555039,1.6550446914783925,0.7676843534877809,-1.6796505040025256,-4.291640356193723,-3.7821715492154717,-5.173695305297411,1.1659972029526162,1.828015818220902,2.5605936518089316
