time,observation,state,log-variance
1.0,-4.467180547685502,-3.3616403404226114,0.8430366037472501
2.0,-7.1151124489869195,-6.847575719256511,0.6116561667094872
3.0,-5.355745154483548,-6.511208462570596,0.5580733680922209
4.0,-6.849911800681969,-7.463983966935948,-0.028157133042108207
5.0,-9.502719494288653,-9.44037933473865,-0.034264386735653955
6.0,-9.837898869991491,-8.044080137166398,0.5696654443780903
7.0,-6.979343892926639,-5.378286397759798,0.7608930054264852
8.0,-5.052995966097337,-4.115020624675942,-0.0014097150257023072
9.0,-3.439724227701843,-4.635412947338055,0.34639821474447396
10.0,-6.9171633257983824,-6.108906585715124,0.234377507555852
11.0,-8.772970135240971,-8.44412188674595,0.3378937271087772
12.0,-6.8119184923320555,-6.619921343799309,0.4421442988988888
13.0,-6.761350126289168,-7.630799623404576,0.2593227681130028
14.0,-8.28646451630059,-9.769021155888483,0.5423248253538961
15.0,-9.447721060382,-8.150630913139555,0.4208170525090218
16.0,-5.437197916500686,-4.452216135918142,0.2680273629351412
17.0,-4.620629291528952,-4.99175059430857,0.5063355220270949
18.0,-6.159309791394915,-4.198452705341713,0.5535644438212688
19.0,-7.948379453056383,-4.967163808085036,0.32022736656443046
20.0,-5.052012402987381,-4.974167023263776,0.3201343856712933
21.0,-3.958147093112847,-3.6142851552262307,-0.10005757170402746
22.0,-2.5415376451601293,-3.163961377310532,0.004683891673646259
23.0,-5.265766506491219,-5.023381278052572,-0.3068563558641696
24.0,-5.8699361551179114,-6.541927040242617,-0.09415044209502721
25.0,-9.194517749589997,-8.78696095733034,-0.25683548421843194
26.0,-9.922943308625035,-10.448514445014048,-0.08427574813790349
27.0,-10.612099116102245,-10.759332895164745,-0.11149268778277006
28.0,-9.679089551786921,-10.965066432719816,-0.3588583640677681
29.0,-11.707585123586142,-12.167716789487992,-0.5469684541783011
30.0,-14.547217652524939,-14.12683289019676,-0.5649489588268252
31.0,-15.030776693545265,-14.257804684061346,-0.5481034655307991
32.0,-15.436542644224913,-15.31280551768133,-0.33312416037174475
33.0,-13.394481428001116,-13.921926275444166,-0.4212392528246107
34.0,-12.786719290948902,-12.164769815304487,-0.3155114377411822
35.0,-11.482679944994121,-11.216076186273042,-0.36153772205939333
36.0,-13.08996031080234,-11.21502399000043,-0.11875818782204908
37.0,-10.473841490552084,-10.294493664824282,0.04021957322485781
38.0,-9.958035663571463,-9.48901916202162,0.15148265853063947
39.0,-7.39151084330579,-8.488807132294061,0.1268699233195184
40.0,-8.5846280039031,-8.794404289315946,-0.4972208573399755
41.0,-10.268365969320348,-11.336173278844337,-0.008776180584841808
42.0,-11.625988950427777,-13.213550922312498,0.04764054429558168
