V,W
1.4390019343325327,3.145222777183626
1.331095717666551,2.8154081842253147
1.6041072399434653,2.5757892887802094
1.7611267528196681,2.1577432174833553
1.7648270972968725,2.71490513961806
1.7860832206820068,2.2673090024442115
1.9783764907448507,2.4751653578762776
1.852357031555583,2.272158921936071
1.7070614632071581,2.31383171157572
1.5759243208830385,3.11118033351746
1.6887599914558973,4.068494089309645
1.6477319908906323,3.360661590361401
1.9503190034314757,3.094592996315066
2.1222187369209906,3.4050066358709694
1.7455771615132967,2.9429171379359054
1.8444533001638233,2.749000139776793
1.6981764245856361,2.8706953611067063
1.8139518966406087,2.5348956131080076
1.6023607021802433,2.275961729128265
1.6988416201440817,3.108151368861739
1.6858969171269638,3.194924070463311
1.8480199818500904,2.9468322426707947
2.2644128344369236,2.2672821598346484
2.085832175623779,2.1014993714617196
1.7259389954764779,2.086117787415719
2.1575910572462815,2.0583128971943325
2.017765953777712,2.3313647498173418
2.076090959442786,2.5237115618835544
2.2204687845773967,2.0937320552376546
2.343897283253454,2.220664951999548
2.34833815187596,2.535321195822293
2.0344663449430844,2.8364197968929905
2.001131640021497,3.2300691332301996
1.8606207936658414,2.8710194679132273
1.880642817647409,3.0401015648370926
1.7036496873162492,3.0478315188030285
1.5189267554593695,3.04155046080044
1.4780291013375053,2.7912954728557375
1.5515838544334797,2.8214450141482414
1.758476863239233,3.052139702885748
1.7985789514545174,2.9139041780554504
2.0018854269488453,2.4163614283242683
1.8888952954800844,2.853152340115484
1.9010593025907332,2.3306373186572795
1.6551255109668137,2.3479955731002873
1.3675117440057112,2.486651783762773
1.3429363095570657,2.2973069822702303
1.3606206093544113,2.3676280391224425
1.618534270635475,2.700035922238023
1.5482494109133003,2.877283766095042
1.847572694684123,2.8254282732472746
1.7511343866433036,2.5379232969426284
1.6082639152178402,2.2479441242905147
1.7915063176151524,2.914637611893683
1.8755901984407015,3.048330119585688
2.0910614471282867,3.012412314836822
1.455653129765958,3.358082737260302
1.56987074088319,3.982710152110348
1.3094918624510974,3.7485276406783665
1.2588553358165588,2.8640977814461257
1.6487457265484051,3.5333042108317048
1.952578567120879,2.6977699273023923
1.5369516877092328,2.6671996355823864
1.631974960548587,2.8988093186020953
2.029433740038715,2.561879481969193
2.012853352942866,2.6271892740641274
1.8921101146366666,2.638505443264202
1.943623323765324,2.683382068890773
2.091988997911529,2.2102617622103873
2.3358361856266385,2.489375533523723
2.1294832249742766,2.6124274765594033
2.2697778417461536,2.9781669376694864
1.755193222461833,2.606527617612121
2.1483411477852905,2.801715222244615
2.059594116213596,2.385794950741235
1.7303614963323735,2.6456582849209926
1.804615280852125,2.848220660377452
1.9472092404569252,2.8477214166658342
1.81879544850927,3.116455146320884
1.8360467730874095,2.583692329685618
1.639539017573239,2.6447943416778843
1.778495883333631,3.1250764832206124
1.9806011771517629,2.4617836692200137
1.8091238639756468,2.506883231914436
1.589495383203271,2.271605804229414
1.498208641798099,2.486592298356737
1.5729811989295743,2.6815291558610004
1.7562781397641911,2.493093345058927
1.3358278550921996,2.8487560992423173
1.4889837798940095,3.2486463910246175
1.839133821112332,3.2015311558218804
2.089027694869329,3.0851468325936104
1.8773011000071202,2.864840092675108
1.8750055130650727,2.922443953713265
1.9321861362622463,3.0704967046614517
1.8925852522261737,2.516532785462169
1.96518668663906,2.739227131657018
1.7831699476154073,2.7044578769717678
1.4104148285457638,2.1566975191547555
1.5315760156903018,2.8865205173330475
